zincid,smiles,dockscore
ZINC000528025349,C[C@@H](NCC1COC1)[C@@H](c1ccccc1)N1CCOCC1,-11.62
ZINC000516481911,O=C(O)[C@H](c1ccccc1)N1CCO[C@@H](c2ccsc2)C1,-64.72
ZINC000419650915,CC(C)Sc1ccc([C@@H](C)NC(=O)C(=O)N2CCC[C@H]2CN)cc1,-20.5
ZINC000373931723,CCC(=O)N1CC[C@H](N=c2cc[nH]cc2-c2cccnc2)C1,-22.65
ZINC000437272900,Cc1nc(CSCCOc2ccc(S(C)(=O)=O)cc2)no1,-36.85
ZINC000159047575,CS[C@@H](C)CNC(=O)[C@@H](c1ccccc1)C1CC1,-27.96
ZINC000520578369,CC(C)N1CCC[C@H](CNC(=O)NC[C@@H](C)c2ccc(F)cc2)C1,-26.41
ZINC000345694854,CC(C)(C)[C@@H]1CCN(C(=O)c2c(Cl)cccc2S(C)(=O)=O)C1,-20.67
ZINC000286478110,Cc1nn(C)cc1S(=O)(=O)N(C)CCN1CCOCC1,-37.49
ZINC000458029092,Cc1cc(C)cc(OCCC(=O)N2CC3(CCC3)[C@@H]3COC[C@H]32)c1,-46.85
ZINC000262605424,CCc1c(C(=O)NC[C@@H](C(=O)O)c2ccccc2)cnn1CC(C)C,-49.31
ZINC000347800815,Cc1nn(C)c(C)c1C[C@H](C)C(=O)N1CCOc2ccc(F)cc2C1,-31.69
ZINC000454298835,CCCc1nnc(NC(=O)N2CC(C)(CC(F)(F)F)C2)s1,-58.65
ZINC000129906737,Cc1ccn(CC(=O)N[C@@H](C)C(C)C)c(=O)c1[N+](=O)[O-],-36.17
ZINC000155189772,CCNC(=O)N1CC[C@@H](NC(=O)CNC(=O)c2cccs2)C1,-36.45
ZINC000135359429,COc1cc(CN(C)C(=O)CCc2cccc(F)c2F)ccc1O,-43.01
ZINC000579548332,CC(C)S(=O)(=O)c1ccccc1NC(=O)c1cc2n(n1)CCCO2,-35.92
ZINC000377202010,CC1(C)CN(C(=O)[C@@H]2CCCC23OCCO3)C[C@]2(CCCOC2)O1,-27.63
