chemlb_id,smiles,pchembl
CHEMBL303519,c1cnc(N2CCN(Cc3cccc4c3Cc3ccccc3-4)CC2)nc1,7.70
CHEMBL292943,COc1ccc(-c2cccc(CN3CCN(c4ncccn4)CC3)c2)cc1,7.24
CHEMBL28321,COc1ccccc1N1CCN(Cc2ccn(-c3ccccc3)c2)CC1,8.89
CHEMBL343657,c1ccc(N2CCN(Cc3ccn(-c4ccccc4)c3)CC2)cc1,8.40
CHEMBL349833,CC1Cc2cccc3c2N1C(=O)C(N1CCN(Cc2ccc(Cl)cc2)CC1)CC3,8.05
CHEMBL439646,CC1(C)Cc2cccc3c2N1C(=O)C(N1CCN(Cc2ccc(Cl)cc2)CC1)CC3,7.72
CHEMBL351963,Cc1ccc(CN2CCN(C3CCc4cccc5c4N(CC5)C3=O)CC2)cc1,8.40
CHEMBL309118,O=C(NCCCN1CCN(c2cccc(Cl)c2Cl)CC1)c1cccc2c1-c1ccccc1C2=O,5.40
CHEMBL315864,Oc1nc2c(N3CCN(Cc4ccccc4)CC3)cccc2[nH]1,7.84
CHEMBL61682,Fc1ccc(-c2cncc(CN3CCN(c4ccccc4F)CC3)c2)cc1,8.52
CHEMBL61682,Fc1ccc(-c2cncc(CN3CCN(c4ccccc4F)CC3)c2)cc1,8.15
CHEMBL322179,O=C(NCCCN1CCN(c2ccccc2)CC1)c1cccc2c1-c1ccccc1C2=O,5.86
CHEMBL108527,O=C(NCCCN1CCN(c2cccc(Cl)c2Cl)CC1)c1cccc2c1Cc1ccccc1-2,6.49
CHEMBL64487,COc1ccccc1-c1cccc(CN2CCN(c3ncccn3)CC2)c1,7.80
CHEMBL64597,c1cnc(N2CCN(Cc3cccc(-c4ccsc4)c3)CC2)nc1,8.52
CHEMBL64597,c1cnc(N2CCN(Cc3cccc(-c4ccsc4)c3)CC2)nc1,8.22
CHEMBL67414,CCN1C(=O)C(N2CCN(Cc3ccc(Cl)cc3)CC2)CCc2ccccc21,5.82
CHEMBL291824,Fc1ccc(-c2cncc(CN3CCN(c4ccc(F)cc4)CC3)c2)cc1,8.10
CHEMBL330108,O=C1Cc2c(ccc(Cl)c2N2CCN(Cc3ccccc3)CC2)N1,8.06
CHEMBL42,CN1CCN(C2=Nc3cc(Cl)ccc3Nc3ccccc32)CC1,7.77
CHEMBL267562,Fc1ccc(C(OC2CC3CCC(C2)N3Cc2ccc(Cl)c(Cl)c2)c2ccc(F)cc2)cc1,6.46
CHEMBL301242,O=C(NCCCCN1CCN(c2cccc(Cl)c2Cl)CC1)c1cccc2c1-c1ccccc1C2=O,5.73
CHEMBL59942,Fc1ccc(-c2cccc(CN3CCN(c4ncccn4)CC3)c2)cc1,8.70
CHEMBL59942,Fc1ccc(-c2cccc(CN3CCN(c4ncccn4)CC3)c2)cc1,8.15
CHEMBL22242,CCN1CCC[C@H]1CNC(=O)c1c(OC)ccc(Br)c1OC,5.41
CHEMBL61657,Fc1ccc(-c2cncc(CN3CCN(c4ccccn4)CC3)c2)cc1,8.15
CHEMBL352207,O=C1C(N2CCN(Cc3ccc(Cl)cc3)CC2)CCc2cccc3c2N1CC3,8.30
CHEMBL352207,O=C1C(N2CCN(Cc3ccc(Cl)cc3)CC2)CCc2cccc3c2N1CC3,8.52
CHEMBL310310,CN1C2CCC1CC(OC(c1ccccc1)c1ccc(Cl)cc1)C2,6.00
CHEMBL108637,O=C(NCCCN1CCN(c2ccccc2)CC1)c1ccc2c(c1)Cc1ccccc1-2,6.17
CHEMBL67750,O=C(NCCCN1CCN(c2cccc(Cl)c2Cl)CC1)c1ccc2c(c1)Cc1ccccc1-2,6.46
CHEMBL314952,O=C1Cc2c(cccc2N2CCN(Cc3ccccc3)CC2)N1,8.52
CHEMBL351989,Cc1ccc(CN2CCN(C3CCc4cccc5c4N(C3=O)C(C)(C)C5)CC2)cc1,7.92
CHEMBL159742,COc1cc(C)ccc1CN1CCN(C2CCc3cccc4c3N(C2=O)C(C)(C)C4)CC1,7.47
CHEMBL88837,c1ccc(CN2CCN(c3cccc4[nH]cnc34)CC2)cc1,7.33
CHEMBL302183,Fc1ccc(-c2cncc(CN3CCN(c4ncccn4)CC3)c2)cc1,8.05
CHEMBL302183,Fc1ccc(-c2cncc(CN3CCN(c4ncccn4)CC3)c2)cc1,8.15
CHEMBL354699,COc1ccc(Cl)cc1CN1CCN(C2CCc3cccc4c3N(C2=O)C(C)(C)C4)CC1,7.54
CHEMBL446892,OC1(c2cccc(C(F)(F)F)c2)CCN(Cc2ccn(-c3ccccc3)c2)CC1,6.31
CHEMBL323997,Fc1ccc(C(OCCN2C3CCC2CC(OC(c2ccc(F)cc2)c2ccc(F)cc2)C3)c2ccc(F)cc2)cc1,6.06
CHEMBL68191,CCN1C(=O)C(N2CCN(Cc3ccc(Cl)cc3)CC2)Cc2ccccc21,8.40
CHEMBL64622,c1cnc(N2CCN(Cc3cccc4c3oc3ccccc34)CC2)nc1,6.54
CHEMBL304692,c1cnc(N2CCN(Cc3cccc4c3-c3ccccc3C4)CC2)nc1,5.32
CHEMBL69584,O=C(CN1CCN(Cc2ccc(Cl)cc2)CC1)N1CCc2ccccc21,8.80
CHEMBL307800,O=C(NCCCCN1CCN(c2cccc(Cl)c2Cl)CC1)C1c2ccccc2-c2ccccc21,6.41
CHEMBL306672,O=C1c2ccccc2C(=O)N1CCCCCN1CCN(c2cccc(Cl)c2Cl)CC1,6.98
CHEMBL555670,Cl.Clc1ccc(N2CCN(Cc3c[nH]c4ncccc34)CC2)cc1,9.00
CHEMBL555670,Cl.Clc1ccc(N2CCN(Cc3c[nH]c4ncccc34)CC2)cc1,8.30
CHEMBL345438,Cc1ccc(CN2CCN(C3CCc4cccc5c4N(C3=O)C(C)C5)CC2)cc1,8.00
CHEMBL69717,O=C1c2ccccc2C(=O)N1CCCCN1CCN(c2cccc(Cl)c2Cl)CC1,6.43
CHEMBL302796,O=C(NCCCN1CCN(c2ccccc2)CC1)C1c2ccccc2-c2ccccc21,5.66
CHEMBL328051,c1ccc(CN2CCN(c3cccc4[nH]ccc34)CC2)cc1,7.83
CHEMBL144835,c1ccc(C2CCN(Cc3ccn(-c4ccccc4)c3)CC2)cc1,8.05
CHEMBL54,O=C(CCCN1CCC(O)(c2ccc(Cl)cc2)CC1)c1ccc(F)cc1,8.15
CHEMBL146557,Oc1nc2ccccc2n1C1CCN(Cc2ccn(-c3ccccc3)c2)CC1,6.19
CHEMBL147731,C1=C(c2ccccc2)CCN(Cc2ccn(-c3ccccc3)c2)C1,8.40
CHEMBL320114,CN1C2CCC1CC(OC1c3ccccc3Cc3ccccc31)C2,6.27
CHEMBL291380,Fc1ccccc1-c1cccc(CN2CCN(c3ncccn3)CC2)c1,8.10
CHEMBL2308105,Fc1ccc(C(O[C@@H]2C[C@@H]3CC[C@H](C2)N3CCCCc2ccccc2)c2ccc(F)cc2)cc1,7.17
CHEMBL68860,O=C(NCCCN1CCN(c2cccc(Cl)c2Cl)CC1)C1c2ccccc2-c2ccccc21,5.94
CHEMBL90476,Brc1ccc(N2CCN(Cc3ccccc3)CC2)c2cc[nH]c12,8.59
CHEMBL88289,FC(F)(F)c1nc2c(N3CCN(Cc4ccccc4)CC3)cccc2[nH]1,8.54
CHEMBL64671,COc1cccc(-c2cccc(CN3CCN(c4ncccn4)CC3)c2)c1,7.77
CHEMBL62829,Fc1cccc(-c2cccc(CN3CCN(c4ncccn4)CC3)c2)c1,8.40
CHEMBL62829,Fc1cccc(-c2cccc(CN3CCN(c4ncccn4)CC3)c2)c1,8.05
CHEMBL64119,CC(C)Oc1cccnc1N(C)C1CCN(Cc2ccccc2)CC1.O=C(O)/C=C\C(=O)O,8.30
CHEMBL64119,CC(C)Oc1cccnc1N(C)C1CCN(Cc2ccccc2)CC1.O=C(O)/C=C\C(=O)O,8.10
CHEMBL106660,Clc1cccc(C(OC2CC3CCC(C2)N3CCCc2ccccc2)c2ccccc2)c1,6.65
CHEMBL302904,Fc1ccc(-c2cncc(CN3CCN(c4ccccc4)CC3)c2)cc1,8.22
CHEMBL351612,COc1ccc(C)cc1CN1CCN(C2CCc3cccc4c3N(C2=O)C(C)(C)C4)CC1,7.19
CHEMBL343466,c1ccc(-n2ccc(CN3CCN(c4ccccn4)CC3)c2)cc1,8.80
CHEMBL68720,O=C(NCCCCCN1CCN(c2cccc(Cl)c2Cl)CC1)c1cccc2c1-c1ccccc1C2=O,6.28
CHEMBL311539,Clc1ccc2[nH]ccc2c1N1CCN(Cc2ccccc2)CC1,8.77
CHEMBL60957,Fc1ccc(-c2cncc(CN3CCN(c4cnccn4)CC3)c2)cc1,7.60
CHEMBL356542,O=C1NCN(c2ccccc2)C12CCN(Cc1ccn(-c3ccccc3)c1)CC2,6.70
CHEMBL147003,OC1(c2ccc(Cl)cc2)CCN(Cc2ccn(-c3ccccc3)c2)CC1,6.49
CHEMBL110349,O=C(NCCCN1CCN(c2ccccc2)CC1)c1cccc2c1Cc1ccccc1-2,6.10
CHEMBL42,CN1CCN(C2=Nc3cc(Cl)ccc3Nc3ccccc32)CC1,7.15
CHEMBL12004,Fc1ccc(C(OC2CC3CCC(C2)N3Cc2cccc3ccccc23)c2ccc(F)cc2)cc1,6.92
CHEMBL109299,Fc1ccc(C(OC2CC3CCC(C2)N3Cc2cc3ccccc3[nH]2)c2ccc(F)cc2)cc1,6.76
CHEMBL12375,Fc1ccc(C(OC2CC3CCC(C2)N3Cc2ccccc2)c2ccc(F)cc2)cc1,6.19
CHEMBL28321,COc1ccccc1N1CCN(Cc2ccn(-c3ccccc3)c2)CC1,8.89
CHEMBL327245,COc1cccc(C(=O)CCCN2CCN(c3ccc(Cl)cc3)CC2)c1,8.40
CHEMBL96462,COc1cccc(CNCCN2CCN(c3ccc(Cl)cc3)CC2)c1,7.64
CHEMBL49231,COc1ccccc1N1CCN(CNC(=O)c2ccc(Cl)cc2)CC1,7.85
CHEMBL49231,COc1ccccc1N1CCN(CNC(=O)c2ccc(Cl)cc2)CC1,8.08
CHEMBL283211,COc1ccccc1N1CCN(CCCNC(=O)C2CCCc3cccc(OC)c32)CC1,7.31
CHEMBL54,O=C(CCCN1CCC(O)(c2ccc(Cl)cc2)CC1)c1ccc(F)cc1,8.44
CHEMBL298763,O=C(NCN1CCN(c2ccccc2Cl)CC1)c1ccccc1,7.50
CHEMBL298763,O=C(NCN1CCN(c2ccccc2Cl)CC1)c1ccccc1,6.97
CHEMBL26677,COc1cccc(C(=O)CCCN2CCN(c3ccccc3OC)CC2)c1,8.77
CHEMBL315879,COc1cccc(C(=O)NCCCCN2CCN(c3ccc(Cl)cc3)CC2)c1,7.60
CHEMBL92713,COc1cccc(C(=O)NCCCN2CCN(c3ccc(Cl)cc3)CC2)c1,8.27
CHEMBL92121,COc1cccc(C(=O)CCCCN2CCN(c3ccc(Cl)cc3)CC2)c1,7.68
CHEMBL328283,COc1ccc2c(c1)C(NCCN1CCN(c3ccc(Cl)cc3)CC1)CCC2,7.34
CHEMBL300956,Cc1ccc(C(=O)NCN2CCN(c3ccccc3C#N)CC2)cc1,8.19
CHEMBL300956,Cc1ccc(C(=O)NCN2CCN(c3ccccc3C#N)CC2)cc1,8.92
CHEMBL49876,N#Cc1ccccc1N1CCN(CNC(=O)c2ccc(Cl)cc2)CC1,8.26
CHEMBL45244,Cc1cccc(C(=O)NCN2CCN(c3ccccc3C#N)CC2)c1,8.06
CHEMBL45244,Cc1cccc(C(=O)NCN2CCN(c3ccccc3C#N)CC2)c1,7.77
CHEMBL298166,Cc1cccc(C(=O)NCN2CCN(c3ccccc3Cl)CC2)c1,7.57
CHEMBL298166,Cc1cccc(C(=O)NCN2CCN(c3ccccc3Cl)CC2)c1,7.80
CHEMBL335545,C1=C(c2ccccc2)CCN(C[C@@H]2CCC=C(c3ccccc3)C2)C1,7.04
CHEMBL329228,COc1cccc(NC(=O)CCN2CCN(c3ccc(Cl)cc3)CC2)c1,7.38
CHEMBL54,O=C(CCCN1CCC(O)(c2ccc(Cl)cc2)CC1)c1ccc(F)cc1,9.00
CHEMBL330470,COc1ccc2c(c1)C(=O)N(CCN1CCN(c3ccc(Cl)cc3)CC1)CC2,6.85
CHEMBL96322,COc1cccc(C(=O)CCCCCN2CCN(c3ccc(Cl)cc3)CC2)c1,6.55
CHEMBL147159,Oc1ccc(C2=CCN(C[C@@H]3CCC=C(c4ccc(O)cc4)C3)CC2)cc1,7.17
CHEMBL42,CN1CCN(C2=Nc3cc(Cl)ccc3Nc3ccccc32)CC1,7.52
CHEMBL96799,COc1cccc2c1CCN(CCN1CCN(c3ccc(Cl)cc3)CC1)C2=O,7.38
CHEMBL423659,N#Cc1ccccc1N1CCN(CNC(=O)c2ccccc2)CC1,7.57
CHEMBL423659,N#Cc1ccccc1N1CCN(CNC(=O)c2ccccc2)CC1,7.62
CHEMBL26135,COc1cccc(C(=O)CCCCN2CCN(c3ccccc3OC)CC2)c1,7.37
CHEMBL26758,COc1cc(N)c(Cl)cc1C(=O)NCCN1CCN(c2ccccc2OC)CC1,7.72
CHEMBL286725,COc1cccc(C(=O)NCCN2CCN(c3ccccc3OC)CC2)c1,8.89
CHEMBL318747,COc1cccc(CCCCN2CCN(c3ccc(Cl)cc3)CC2)c1,6.69
CHEMBL51536,Cc1ccc(C(=O)NCN2CCN(c3ccccc3Cl)CC2)cc1,7.92
CHEMBL51536,Cc1ccc(C(=O)NCN2CCN(c3ccccc3Cl)CC2)cc1,6.66
CHEMBL26426,COc1ccccc1N1CCN(CCNC(=O)C2CCCc3c(OC)cccc32)CC1,7.66
CHEMBL92411,COc1cccc(C(=O)N(C)CCN2CCN(c3ccc(Cl)cc3)CC2)c1,6.75
CHEMBL51023,COc1ccccc1N1CCN(CNC(=O)c2ccc(C)cc2)CC1,8.11
CHEMBL51023,COc1ccccc1N1CCN(CNC(=O)c2ccc(C)cc2)CC1,8.47
CHEMBL26929,COc1ccccc1N1CCN(CCCC2CCCc3c(OC)cccc32)CC1,7.43
CHEMBL28063,COc1ccccc1N1CCN(CCC(=O)NC2CCCc3c(OC)cccc32)CC1,7.17
CHEMBL94265,COc1cccc(C(=O)NCCCCCN2CCN(c3ccc(Cl)cc3)CC2)c1,6.62
CHEMBL321557,COc1cccc2c1CCCC2CCCN1CCN(c2ccc(Cl)cc2)CC1,6.38
CHEMBL93403,COc1cccc(C(=O)NCCN2CCN(c3ccc(Cl)cc3)CC2)c1,10.40
CHEMBL2112375,COc1cccc2c1CCCC2NCCN1CCN(c2ccc(Cl)cc2)CC1.Cl.Cl,7.50
CHEMBL296506,COc1ccccc1N1CCN(CNC(=O)c2cccc(C)c2)CC1,8.17
CHEMBL296506,COc1ccccc1N1CCN(CNC(=O)c2cccc(C)c2)CC1,7.89
CHEMBL49502,N#Cc1ccccc1N1CCN(CNC(=O)c2cccc(Cl)c2)CC1,7.47
CHEMBL49502,N#Cc1ccccc1N1CCN(CNC(=O)c2cccc(Cl)c2)CC1,8.28
CHEMBL296953,O=C(NCN1CCN(c2ccccc2Cl)CC1)c1ccc(Cl)cc1,8.28
CHEMBL296953,O=C(NCN1CCN(c2ccccc2Cl)CC1)c1ccc(Cl)cc1,8.08
CHEMBL42,CN1CCN(C2=Nc3cc(Cl)ccc3Nc3ccccc32)CC1,7.89
CHEMBL28209,COc1ccccc1N1CCN(CCCCC2CCCc3c(OC)cccc32)CC1,7.37
CHEMBL48819,COc1ccccc1N1CCN(CNC(=O)c2cccc(Cl)c2)CC1,7.82
CHEMBL48819,COc1ccccc1N1CCN(CNC(=O)c2cccc(Cl)c2)CC1,7.82
CHEMBL295094,O=C(NCN1CCN(c2ccccc2Cl)CC1)c1cccc(Cl)c1,7.39
CHEMBL285577,COc1ccccc1N1CCN(Cc2cccc(-c3ccccc3)c2)CC1,8.10
CHEMBL357416,Oc1ccc(C2=CCC[C@@H](CN3CC=C(c4ccccc4)CC3)C2)cc1,7.21
CHEMBL420067,COc1ccc2c(c1)C(CCCN1CCN(c3ccc(Cl)cc3)CC1)CCC2,6.41
CHEMBL48807,COc1ccccc1N1CCN(CNC(=O)c2ccccc2)CC1,7.66
CHEMBL48807,COc1ccccc1N1CCN(CNC(=O)c2ccccc2)CC1,7.51
CHEMBL90374,Clc1ccc(N2CCN(Cc3cccn4nccc34)CC2)cc1,7.19
CHEMBL7927,Clc1ccc(N2CCN(Cc3cnn4ccccc34)CC2)cc1,8.44
CHEMBL88937,Clc1ccc(N2CCN(Cc3cccc4ccnn34)CC2)cc1,5.89
CHEMBL310843,Clc1ccc(N2CCN(Cc3cc4ccccn4n3)CC2)cc1,8.66
